Kyler Murray,QB
Drew Anderson,QB
Brett Hundley,QB
Kenyan Drake,RB
Chase Edmonds,RB
Eno Benjamin,RB
DeAndre Hopkins,WR
Larry Fitzgeral,WR
Christian Kirk,WR
Johnnie Dixon,WR
A.J. Richardson,WR
Dylan Cantrell,WR
Andy Isabella,WR
KeeSean Johnson,WR
Hakeem Butler,WR
Trent Sherfield,WR
Jojo Ward,WR
Shane Leatherbury,WR
Rashas Medaris,WR
Devin Phelps,WR
DJ Foster,WR
Maxx Williams,TE
Dan Arnold,TE
Ryan Becker,TE
Parker Houston,TE
Darrell Daniels,TE
Mason Cole,C
Max Garcia,C
Lamont Gaillard,C
JR Sweezy,OG
Sam Jones,OG
Steven Gonazalez,OG
Andrew Dickinson,OG
Justin Pugh,OT
Marcus Gilbert,OT
Klvin Beachum,OT
DJ Humphries,OT
Johj Jones,OT
Justin Murray ,OT
Jake Benzinger,OT
Brett Toth,OT
Joshua Miles,OT
Jackson dennis,OT
Jordan Phillips,NT
Corey Peters,DT
Michael Dogbe,DT
Adam Schuler,DT
Leki Fotu,DT
Trevon Coley,DT
Rashard Lawrence,DT
Miles Brown,DT
Chandler Jones,DE
Reggie Walker,DE
Kylie Fitts,DE
Zach Allen,DE
Jonathan Bullard,DE
Isaiah Simmons,LB
Devon Kennard,LB
Jordan Hicks,LB
De'Vondre Campbell,LB
Haason Reddick,LB
Evan Weaver,LB
Vontarrius Dora,LB
Dennis Gardeck,LB
Tanner Vallejo,LB
Patrick Peterson,CB
Byron Murphy,CB
Robert Alford,CB
Sojourn Shelton,CB
Zane Lewis,CB
Bejour Wilson,CB
Jace Whittaker,CB
Kevin Peterson,CB
Chris Jones,CB
Charles Washington,CB
Duke Thomas,CB
Jalen Davis,CB
Reggie Floyd,SS
Zeke Turner,SS
Chris Banjo,SS
Budda Baker,FS
Jalen Thompson,FS
Delonte Thonmpson,FS
Kentrll Brice,SS
Andly Lee,P
Ryan Winslow,P
Zane Gonzales,PK